severity,scope,key,value,threshold,message
WARN,BASELINE,CENTRALISED,1,0,No-fault baseline contained one or more terminal FAULT outcomes.
WARN,BASELINE,CENTRALISED,1872.741687385471,500.0,Successful baseline mission time is highly variable/non-stationary; avoid relying on one global baseline median for causal latency attribution.
WARN,EVENT_POINT,COORDINATOR:TABLE_ALIGNED#1,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:TABLE_ALIGNED#1,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,COORDINATOR:FILLER_DONE#1,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:FILLER_DONE#1,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:FILLER_DONE#1,0.75,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,PRODUCTION:FILLER_DONE#1,0.25,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:FILLER_DONE#1,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,COORDINATOR:LID_DONE#1,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:LID_DONE#1,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:LID_DONE#1,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:LID_DONE#1,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,PRODUCTION:LID_DONE#1,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,COORDINATOR:CAPPER_DONE#1,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:CAPPER_DONE#1,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:CAPPER_DONE#1,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:CAPPER_DONE#1,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:CAPPER_DONE#1,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,SAFETY:CAPPER_DONE#1,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,COORDINATOR:LABELLER_DONE#1,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:LABELLER_DONE#1,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:LABELLER_DONE#1,0.75,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,BATCH:LABELLER_DONE#1,0.25,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:LABELLER_DONE#1,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
